Component,Part Number,Description,Quantity
350-BBJQ : Dell EMC Luggage Tag,TRVH0,"ASSEMBLY, TRAY, EST, R940",1
350-BBJL : Quick Sync 2 (At-the-box mgmt),2993G,"INFORMATION, SERVER, SERVER CHASSIS, QSYNC",1
,51C70,"TECHNICAL SHEET, INFORMATION, RED, OPERATING SYSTEM, DRV, WORLD WIDE",1
,31TN8,"ASSEMBLY, RACK, EAR, LEFT, QSYNC, R940",1
,R9445,"SCREW, M3X.05X4.5MM, FLAT HEAD, MACHINE SCREW, ZINC PLATED STEEL",5
350-BBJJ : Dell/EMC LCD Bezel for PowerEd ge R940,V8F04,"ASSEMBLY, BEZEL, DELL/EMC, R940",1
343-BBKM : PowerEdge R940 Shipping Materi al 2,YTYVY,"SHIPPING MATERIAL, OPTION, TRAY, 1/2U, 4.13H",1
,602GN,"ASSEMBLY, LABEL, REGULATORY, R940, 1300, J STYLE",1
,879GD,"KIT, SHIPPING MATERIAL, R940, RUBBERDOME",1
340-BKOP : PowerEdge R940 Shipping,7260R,"PREPARATION MATERIAL, DEVIATION, SERVICE CHARGE, INCRS #2",1
,14PV9,"GUIDE, PRODUCT, INFORMATION, WSI-US, PE/PV",1
,08123,"INFORMATION, NO DELL DIRECT CATALOG",1
,01323,"INFORMATION, NO ITEM",1
,2260R,"PREPARATION MATERIAL, DEVIATION, SERVICE CHARGE, INCRS #1",1
,5R203,"INFORMATION, FLYER, DOCUMENTATION",1
,23501,"LABEL, BARCODE, SYS BOX, GENERIC",1
,5KMX3,"PLACEMAT, OPEN MANAGE, DROP IN BOX, 14G, REST OF WORLD",1
,MNK91,"GUIDE, GETTING STARTED, R940, D/B, GLOBAL",1
,J894K,"GUIDE, PRODUCT, INFORMATION, SERI, DAO/BCC",1
,MW70H,"ASSEMBLY, LABEL, REGULATORY, ENTERPRISE SYSTEMS GROUP, PACKAGE, PACKAGING, DELL AMERICAS ORGANIZATION, BIO RAD",1
"338-BLWK : 2x Intel Xeon Gold 6152 2.1G, 22C/44T, 10.4GT/s , 30M Cache,  Turbo, HT (140W) DDR4-2666",Y1HH1,"PROCESSOR, 6152, 2.1, 30.25MB, SKL, H0",2
329-BDKB : PowerEdge R940 Motherboard,D41HC,"PRINTED WIRING ASSY, PLANAR (MOTHERBOARD), SERVER, SERVER CHASSIS, R940, V2",1
321-BCMU : 2.5" Chassis with up to 24 Har d Drives and 12 NVME for 4S co nfig,1YGFW,"PRINTED WIRING ASSY, CONTROLLER, PERIPHERAL COMPONENT INTERCONNECT EXPRESS , EXTENDER, ADAPTER, 14G",3
,DK35X,"Assembly, Cable, Serial Attached Scsi, Poweredge Expandable Raid Controller Number, Left, R940",1
,RJ8J9,"ASSEMBLY, FILLER, BLANK , HARD DRIVE, 2.5, 14G",20
,WXNGD,"ASSEMBLY, CHASSIS, LADDER WITH 5R/2R CIRCUITS, R940",1
,6HNY6,"ASSEMBLY, BEZEL, FRONT, LABEL, 12PCIE, R940",1
,26HC0,"ASSEMBLY, CABLE, PERIPHERAL COMPONENT INTERCONNECT EXPRESS , RT2, 4S, R940",1
,FH049,"ASSEMBLY, CABLE, SIGNAL, MISCELLANEOUS, HDBP, R940",1
,7WJ8W,"ASSEMBLY, PRINTED WIRING ASSY, BACKPLANE, PERIPHERAL COMPONENT INTERCONNECT EXPRESS , 1X24, R940",1
,NMRWR,"ASSEMBLY, CABLE, POWER, HDBP, R940",2
